Question,Subject,Chapter,Years_Appeared,Frequency,Average_Marks,,Priority,Is_Augmented,Source_Question
"In short, describe the working principle and radiation resistance of small loop antenna.",Antennas and Propagation,5. Loop Antenna,"Summer 2022, Summer 2023, Winter 2024, Summer 2025, Winter 2025",5,5.8,,High,TRUE,Explain the working principle and radiation resistance of small loop antenna.
"To summarize, discuss the working principle and radiation resistance of small loop antenna.",Antennas and Propagation,5. Loop Antenna,"Summer 2022, Summer 2023, Winter 2024, Summer 2025, Winter 2025",5,5.8,,High,TRUE,Explain the working principle and radiation resistance of small loop antenna.
"In short, explain the working principle and radiation resistance of small loop antenna.",Antennas and Propagation,5. Loop Antenna,"Summer 2022, Summer 2023, Winter 2024, Summer 2025, Winter 2025",5,5.8,,High,TRUE,Explain the working principle and radiation resistance of small loop antenna.
"Briefly, explain the working principle and radiation resistance of small loop antenna.",Antennas and Propagation,5. Loop Antenna,"Summer 2022, Summer 2023, Winter 2024, Summer 2025, Winter 2025",5,5.8,,High,TRUE,Explain the working principle and radiation resistance of small loop antenna.
"In brief, obtain the directivity of loop antennas for large loop.",Antennas and Propagation,5. Loop Antenna,Winter 2022,1,3,,Low,TRUE,Derive the directivity of loop antennas for large loop.
"Concisely, deduce the directivity of loop antennas for large loop.",Antennas and Propagation,5. Loop Antenna,Winter 2022,1,3,,Low,TRUE,Derive the directivity of loop antennas for large loop.
"Concisely, obtain the directivity of loop antennas for large loop.",Antennas and Propagation,5. Loop Antenna,Winter 2022,1,3,,Low,TRUE,Derive the directivity of loop antennas for large loop.
"Briefly, deduce the directivity of loop antennas for large loop.",Antennas and Propagation,5. Loop Antenna,Winter 2022,1,3,,Low,TRUE,Derive the directivity of loop antennas for large loop.
Deduce the directivity of loop antennas for large loop.,Antennas and Propagation,5. Loop Antenna,Winter 2022,1,3,,Low,TRUE,Derive the directivity of loop antennas for large loop.
"Concisely, discuss helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas.",Antennas and Propagation,6. Helical antenna,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,TRUE,"Explain helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas."
"To summarize, discuss helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas.",Antennas and Propagation,6. Helical antenna,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,TRUE,"Explain helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas."
"In short, describe helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas.",Antennas and Propagation,6. Helical antenna,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,TRUE,"Explain helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas."
"To summarize, explain helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas.",Antennas and Propagation,6. Helical antenna,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,TRUE,"Explain helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas."
"In short, explain helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas.",Antennas and Propagation,6. Helical antenna,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,TRUE,"Explain helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas."
"Briefly, describe the construction, operation, and design of Yagi-Uda antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,TRUE,"Explain the construction, operation, and design of Yagi-Uda antenna."
"Briefly, discuss the construction, operation, and design of Yagi-Uda antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,TRUE,"Explain the construction, operation, and design of Yagi-Uda antenna."
"In short, discuss the construction, operation, and design of Yagi-Uda antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,TRUE,"Explain the construction, operation, and design of Yagi-Uda antenna."
"To summarize, discuss the construction, operation, and design of Yagi-Uda antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,TRUE,"Explain the construction, operation, and design of Yagi-Uda antenna."
"Concisely, discuss the construction, operation, and design of Yagi-Uda antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,TRUE,"Explain the construction, operation, and design of Yagi-Uda antenna."
"To summarize, along with necessary figure explain the principle of Folded dipole.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Winter 2025",5,3.6,,High,TRUE,Along with necessary figure explain the principle of Folded dipole.
"Briefly, along with necessary figure explain the principle of Folded dipole.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Winter 2025",5,3.6,,High,TRUE,Along with necessary figure explain the principle of Folded dipole.
"Concisely, along with necessary figure explain the principle of Folded dipole.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Winter 2025",5,3.6,,High,TRUE,Along with necessary figure explain the principle of Folded dipole.
"In short, along with necessary figure explain the principle of Folded dipole.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Winter 2025",5,3.6,,High,TRUE,Along with necessary figure explain the principle of Folded dipole.
"In brief, along with necessary figure explain the principle of Folded dipole.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Winter 2025",5,3.6,,High,TRUE,Along with necessary figure explain the principle of Folded dipole.
Explain in depth about frequency scanning arrays.,Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2022,1,7,,Low,TRUE,Explain in detail about frequency scanning arrays.
"In short, explain in detail about frequency scanning arrays.",Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2022,1,7,,Low,TRUE,Explain in detail about frequency scanning arrays.
"Briefly, describe in detail about frequency scanning arrays.",Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2022,1,7,,Low,TRUE,Explain in detail about frequency scanning arrays.
"To summarize, describe in detail about frequency scanning arrays.",Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2022,1,7,,Low,TRUE,Explain in detail about frequency scanning arrays.
"To summarize, explain in depth about frequency scanning arrays.",Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2022,1,7,,Low,TRUE,Explain in detail about frequency scanning arrays.
"Concisely, describe various types of antennas with their applications.",Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2023,1,7,,Low,TRUE,Explain various types of antennas with their applications.
Discuss various types of antennas with their applications.,Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2023,1,7,,Low,TRUE,Explain various types of antennas with their applications.
"In brief, explain various types of antennas with their applications.",Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2023,1,7,,Low,TRUE,Explain various types of antennas with their applications.
"In short, discuss various types of antennas with their applications.",Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2023,1,7,,Low,TRUE,Explain various types of antennas with their applications.
"Concisely, explain various types of antennas with their applications.",Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2023,1,7,,Low,TRUE,Explain various types of antennas with their applications.
"Concisely, explain smart antennas.",Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2021,1,4,,Low,TRUE,Describe smart antennas.
Explain smart antennas.,Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2021,1,4,,Low,TRUE,Describe smart antennas.
"Briefly, describe smart antennas.",Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2021,1,4,,Low,TRUE,Describe smart antennas.
"To summarize, discuss smart antennas.",Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2021,1,4,,Low,TRUE,Describe smart antennas.
"In short, discuss smart antennas.",Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2021,1,4,,Low,TRUE,Describe smart antennas.
"Concisely, discuss Resonant long wire antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2023,1,4,,Low,TRUE,Explain Resonant long wire antenna.
"To summarize, explain Resonant long wire antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2023,1,4,,Low,TRUE,Explain Resonant long wire antenna.
"To summarize, describe Resonant long wire antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2023,1,4,,Low,TRUE,Explain Resonant long wire antenna.
"In brief, explain Resonant long wire antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2023,1,4,,Low,TRUE,Explain Resonant long wire antenna.
"In short, discuss Resonant long wire antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2023,1,4,,Low,TRUE,Explain Resonant long wire antenna.
"Briefly, explain Cassegrain feed and list various types of reflector antennas.",Antennas and Propagation,8. Reflector antennas,"Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2025",6,4.83,,High,TRUE,Explain Cassegrain feed and list different types of reflector antennas.
Explain Cassegrain feed and list the various kinds of reflector antennas.,Antennas and Propagation,8. Reflector antennas,"Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2025",6,4.83,,High,TRUE,Explain Cassegrain feed and list different types of reflector antennas.
"Concisely, explain Cassegrain feed and list different types of reflector antennas.",Antennas and Propagation,8. Reflector antennas,"Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2025",6,4.83,,High,TRUE,Explain Cassegrain feed and list different types of reflector antennas.
"Concisely, explain Cassegrain feed and list the various kinds of reflector antennas.",Antennas and Propagation,8. Reflector antennas,"Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2025",6,4.83,,High,TRUE,Explain Cassegrain feed and list different types of reflector antennas.
"Concisely, discuss Cassegrain feed and list different types of reflector antennas.",Antennas and Propagation,8. Reflector antennas,"Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2025",6,4.83,,High,TRUE,Explain Cassegrain feed and list different types of reflector antennas.
"Compute the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz.",Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,TRUE,"Calculate the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz."
"Concisely, calculate the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz.",Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,TRUE,"Calculate the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz."
"Briefly, find the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz.",Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,TRUE,"Calculate the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz."
"To summarize, find the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz.",Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,TRUE,"Calculate the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz."
"Briefly, compute the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz.",Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,TRUE,"Calculate the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz."
"In brief, find the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.",Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,TRUE,Calculate the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.
"Briefly, find the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.",Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,TRUE,Calculate the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.
Find the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.,Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,TRUE,Calculate the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.
"Briefly, compute the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.",Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,TRUE,Calculate the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.
"In short, calculate the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.",Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,TRUE,Calculate the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.
"In brief, discuss Feed methods of Parabolic reflectors.",Antennas and Propagation,8. Reflector antennas,Summer 2025,1,7,,Low,TRUE,Explain Feed methods of Parabolic reflectors.
"Briefly, discuss Feed methods of Parabolic reflectors.",Antennas and Propagation,8. Reflector antennas,Summer 2025,1,7,,Low,TRUE,Explain Feed methods of Parabolic reflectors.
"Concisely, discuss Feed methods of Parabolic reflectors.",Antennas and Propagation,8. Reflector antennas,Summer 2025,1,7,,Low,TRUE,Explain Feed methods of Parabolic reflectors.
Describe Feed methods of Parabolic reflectors.,Antennas and Propagation,8. Reflector antennas,Summer 2025,1,7,,Low,TRUE,Explain Feed methods of Parabolic reflectors.
"To summarize, explain Feed methods of Parabolic reflectors.",Antennas and Propagation,8. Reflector antennas,Summer 2025,1,7,,Low,TRUE,Explain Feed methods of Parabolic reflectors.
"In brief, state Babinet's principle and illustrate its application to slot antennas and complementary antennas.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,4.57,,High,TRUE,State Babinet's principle and illustrate its application to slot antennas and complementary antennas.
"Briefly, state Babinet's principle and illustrate its application to slot antennas and complementary antennas.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,4.57,,High,TRUE,State Babinet's principle and illustrate its application to slot antennas and complementary antennas.
"Concisely, state Babinet's principle and illustrate its application to slot antennas and complementary antennas.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,4.57,,High,TRUE,State Babinet's principle and illustrate its application to slot antennas and complementary antennas.
"To summarize, state Babinet's principle and illustrate its application to slot antennas and complementary antennas.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,4.57,,High,TRUE,State Babinet's principle and illustrate its application to slot antennas and complementary antennas.
"In short, state Babinet's principle and illustrate its application to slot antennas and complementary antennas.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,4.57,,High,TRUE,State Babinet's principle and illustrate its application to slot antennas and complementary antennas.
"In short, explain various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Summer 2025",5,3.4,,High,TRUE,"Describe various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn."
"Explain various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Summer 2025",5,3.4,,High,TRUE,"Describe various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn."
"Concisely, explain various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Summer 2025",5,3.4,,High,TRUE,"Describe various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn."
"To summarize, describe various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Summer 2025",5,3.4,,High,TRUE,"Describe various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn."
"In short, describe various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Summer 2025",5,3.4,,High,TRUE,"Describe various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn."
"Concisely, find the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.",Antennas and Propagation,9. Slot patch & Horn antennas,Winter 2023,1,3,,Low,TRUE,Find the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.
"In brief, calculate the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.",Antennas and Propagation,9. Slot patch & Horn antennas,Winter 2023,1,3,,Low,TRUE,Find the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.
"Briefly, calculate the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.",Antennas and Propagation,9. Slot patch & Horn antennas,Winter 2023,1,3,,Low,TRUE,Find the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.
"Briefly, determine the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.",Antennas and Propagation,9. Slot patch & Horn antennas,Winter 2023,1,3,,Low,TRUE,Find the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.
"In short, find the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.",Antennas and Propagation,9. Slot patch & Horn antennas,Winter 2023,1,3,,Low,TRUE,Find the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.
"Briefly, discuss the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas.",Antennas and Propagation,10. Microstrip (patch) antennas,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",8,5.38,,High,TRUE,"Describe the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas."
"In short, explain the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas.",Antennas and Propagation,10. Microstrip (patch) antennas,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",8,5.38,,High,TRUE,"Describe the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas."
"To summarize, explain the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas.",Antennas and Propagation,10. Microstrip (patch) antennas,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",8,5.38,,High,TRUE,"Describe the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas."
"Briefly, explain the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas.",Antennas and Propagation,10. Microstrip (patch) antennas,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",8,5.38,,High,TRUE,"Describe the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas."
"In short, describe the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas.",Antennas and Propagation,10. Microstrip (patch) antennas,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",8,5.38,,High,TRUE,"Describe the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas."
"Briefly, explain Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages.",Antennas and Propagation,11. Lens antennas,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.67,,High,TRUE,"Explain Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages."
"Describe Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages.",Antennas and Propagation,11. Lens antennas,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.67,,High,TRUE,"Explain Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages."
"In brief, explain Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages.",Antennas and Propagation,11. Lens antennas,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.67,,High,TRUE,"Explain Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages."
"Discuss Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages.",Antennas and Propagation,11. Lens antennas,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.67,,High,TRUE,"Explain Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages."
"In brief, discuss Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages.",Antennas and Propagation,11. Lens antennas,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.67,,High,TRUE,"Explain Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages."
"In short, describe log-periodic antenna works as frequency independent antenna, and design log periodic dipole array.",Antennas and Propagation,12. Broadband & Freq. Independent antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",9,5.44,,High,TRUE,"Explain log-periodic antenna works as frequency independent antenna, and design log periodic dipole array."
"Briefly, describe log-periodic antenna works as frequency independent antenna, and design log periodic dipole array.",Antennas and Propagation,12. Broadband & Freq. Independent antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",9,5.44,,High,TRUE,"Explain log-periodic antenna works as frequency independent antenna, and design log periodic dipole array."
"Briefly, discuss log-periodic antenna works as frequency independent antenna, and design log periodic dipole array.",Antennas and Propagation,12. Broadband & Freq. Independent antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",9,5.44,,High,TRUE,"Explain log-periodic antenna works as frequency independent antenna, and design log periodic dipole array."
"In short, explain log-periodic antenna works as frequency independent antenna, and design log periodic dipole array.",Antennas and Propagation,12. Broadband & Freq. Independent antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",9,5.44,,High,TRUE,"Explain log-periodic antenna works as frequency independent antenna, and design log periodic dipole array."
"In brief, explain log-periodic antenna works as frequency independent antenna, and design log periodic dipole array.",Antennas and Propagation,12. Broadband & Freq. Independent antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",9,5.44,,High,TRUE,"Explain log-periodic antenna works as frequency independent antenna, and design log periodic dipole array."
"To summarize, explain briefly about antennas for satellite communication and mobile communication.",Antennas and Propagation,13. Antennas for special applications,"Summer 2023, Winter 2024, Winter 2025",3,3.33,,High,TRUE,Explain in brief about antennas for satellite communication and mobile communication.
"To summarize, explain in short about antennas for satellite communication and mobile communication.",Antennas and Propagation,13. Antennas for special applications,"Summer 2023, Winter 2024, Winter 2025",3,3.33,,High,TRUE,Explain in brief about antennas for satellite communication and mobile communication.
"To summarize, explain in brief about antennas for satellite communication and mobile communication.",Antennas and Propagation,13. Antennas for special applications,"Summer 2023, Winter 2024, Winter 2025",3,3.33,,High,TRUE,Explain in brief about antennas for satellite communication and mobile communication.
"Briefly, explain briefly about antennas for satellite communication and mobile communication.",Antennas and Propagation,13. Antennas for special applications,"Summer 2023, Winter 2024, Winter 2025",3,3.33,,High,TRUE,Explain in brief about antennas for satellite communication and mobile communication.
"In short, explain in brief about antennas for satellite communication and mobile communication.",Antennas and Propagation,13. Antennas for special applications,"Summer 2023, Winter 2024, Winter 2025",3,3.33,,High,TRUE,Explain in brief about antennas for satellite communication and mobile communication.
"In short, describe the Ultra-wideband antenna (UWB) antenna for Digital application.",Antennas and Propagation,13. Antennas for special applications,"Winter 2021, Summer 2024, Winter 2025",3,3.67,,High,TRUE,Explain the Ultra-wideband antenna (UWB) antenna for Digital application.
"Briefly, describe the Ultra-wideband antenna (UWB) antenna for Digital application.",Antennas and Propagation,13. Antennas for special applications,"Winter 2021, Summer 2024, Winter 2025",3,3.67,,High,TRUE,Explain the Ultra-wideband antenna (UWB) antenna for Digital application.
Describe the Ultra-wideband antenna (UWB) antenna for Digital application.,Antennas and Propagation,13. Antennas for special applications,"Winter 2021, Summer 2024, Winter 2025",3,3.67,,High,TRUE,Explain the Ultra-wideband antenna (UWB) antenna for Digital application.
"In brief, explain the Ultra-wideband antenna (UWB) antenna for Digital application.",Antennas and Propagation,13. Antennas for special applications,"Winter 2021, Summer 2024, Winter 2025",3,3.67,,High,TRUE,Explain the Ultra-wideband antenna (UWB) antenna for Digital application.
"Concisely, discuss the Ultra-wideband antenna (UWB) antenna for Digital application.",Antennas and Propagation,13. Antennas for special applications,"Winter 2021, Summer 2024, Winter 2025",3,3.67,,High,TRUE,Explain the Ultra-wideband antenna (UWB) antenna for Digital application.
"Briefly, what are the properties of Plasma antenna? Give the working principle of plasma antenna.",Antennas and Propagation,13. Antennas for special applications,"Winter 2022, Winter 2023",2,3.5,,High,TRUE,What are the properties of Plasma antenna? Give the working principle of plasma antenna.
"Concisely, what are the properties of Plasma antenna? Give the working principle of plasma antenna.",Antennas and Propagation,13. Antennas for special applications,"Winter 2022, Winter 2023",2,3.5,,High,TRUE,What are the properties of Plasma antenna? Give the working principle of plasma antenna.
"In brief, what are the properties of Plasma antenna? Give the working principle of plasma antenna.",Antennas and Propagation,13. Antennas for special applications,"Winter 2022, Winter 2023",2,3.5,,High,TRUE,What are the properties of Plasma antenna? Give the working principle of plasma antenna.
"To summarize, what are the properties of Plasma antenna? Give the working principle of plasma antenna.",Antennas and Propagation,13. Antennas for special applications,"Winter 2022, Winter 2023",2,3.5,,High,TRUE,What are the properties of Plasma antenna? Give the working principle of plasma antenna.
"In short, what are the properties of Plasma antenna? Give the working principle of plasma antenna.",Antennas and Propagation,13. Antennas for special applications,"Winter 2022, Winter 2023",2,3.5,,High,TRUE,What are the properties of Plasma antenna? Give the working principle of plasma antenna.
"In short, explain embedded antenna.",Antennas and Propagation,13. Antennas for special applications,Winter 2024,1,4,,Low,TRUE,Explain embedded antenna.
