Question,Subject,Chapter,Years_Appeared,Frequency,Average_Marks,,Priority,Is_Augmented,Source_Question
"In brief, enumerate various I/O types of an embedded system and explain them giving suitable examples.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,7,,Low,TRUE,Enumerate various I/O types of an embedded system and explain them with examples.
"In brief, describe Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,3.86,,High,TRUE,"Explain Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values."
"Describe Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,3.86,,High,TRUE,"Explain Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values."
"Concisely, explain Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,3.86,,High,TRUE,"Explain Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values."
"To summarize, explain Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,3.86,,High,TRUE,"Explain Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values."
"In brief, explain Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,3.86,,High,TRUE,"Explain Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values."
"Briefly, differentiate between Process and Thread.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Summer 2024",3,4,,High,TRUE,Differentiate between Process and Thread.
"Concisely, distinguish between Process and Thread.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Summer 2024",3,4,,High,TRUE,Differentiate between Process and Thread.
"In brief, compare between Process and Thread.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Summer 2024",3,4,,High,TRUE,Differentiate between Process and Thread.
"Briefly, compare between Process and Thread.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Summer 2024",3,4,,High,TRUE,Differentiate between Process and Thread.
"Briefly, distinguish between Process and Thread.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Summer 2024",3,4,,High,TRUE,Differentiate between Process and Thread.
"Differentiate process, task and thread with an appropriate example.",Embedded Systems,4. Inter-process Communication,"Winter 2022, Summer 2023",2,7,,High,TRUE,"Compare process, task and thread with an appropriate example."
"Briefly, distinguish process, task and thread with an appropriate example.",Embedded Systems,4. Inter-process Communication,"Winter 2022, Summer 2023",2,7,,High,TRUE,"Compare process, task and thread with an appropriate example."
"In brief, differentiate process, task and thread with an appropriate example.",Embedded Systems,4. Inter-process Communication,"Winter 2022, Summer 2023",2,7,,High,TRUE,"Compare process, task and thread with an appropriate example."
"Concisely, distinguish process, task and thread with an appropriate example.",Embedded Systems,4. Inter-process Communication,"Winter 2022, Summer 2023",2,7,,High,TRUE,"Compare process, task and thread with an appropriate example."
"In short, distinguish process, task and thread with an appropriate example.",Embedded Systems,4. Inter-process Communication,"Winter 2022, Summer 2023",2,7,,High,TRUE,"Compare process, task and thread with an appropriate example."
"In brief, distinguish between a Task, a Function and an Interrupt Service Routine.",Embedded Systems,4. Inter-process Communication,Winter 2022,1,4,,Low,TRUE,"Differentiate between a Task, a Function and an Interrupt Service Routine."
"Concisely, distinguish between a Task, a Function and an Interrupt Service Routine.",Embedded Systems,4. Inter-process Communication,Winter 2022,1,4,,Low,TRUE,"Differentiate between a Task, a Function and an Interrupt Service Routine."
"Concisely, compare between a Task, a Function and an Interrupt Service Routine.",Embedded Systems,4. Inter-process Communication,Winter 2022,1,4,,Low,TRUE,"Differentiate between a Task, a Function and an Interrupt Service Routine."
"In brief, compare between a Task, a Function and an Interrupt Service Routine.",Embedded Systems,4. Inter-process Communication,Winter 2022,1,4,,Low,TRUE,"Differentiate between a Task, a Function and an Interrupt Service Routine."
"Briefly, compare between a Task, a Function and an Interrupt Service Routine.",Embedded Systems,4. Inter-process Communication,Winter 2022,1,4,,Low,TRUE,"Differentiate between a Task, a Function and an Interrupt Service Routine."
"Briefly, describe the shared data problem with an example and its solutions.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Winter 2024",4,5,,High,TRUE,Describe the shared data problem with an example and its solutions.
Discuss the shared data problem with an example and its solutions.,Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Winter 2024",4,5,,High,TRUE,Describe the shared data problem with an example and its solutions.
"In brief, describe the shared data problem with an example and its solutions.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Winter 2024",4,5,,High,TRUE,Describe the shared data problem with an example and its solutions.
"In short, describe the shared data problem with an example and its solutions.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Winter 2024",4,5,,High,TRUE,Describe the shared data problem with an example and its solutions.
"In short, explain the shared data problem with an example and its solutions.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Winter 2024",4,5,,High,TRUE,Describe the shared data problem with an example and its solutions.
"To summarize, discuss Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC).",Embedded Systems,4. Inter-process Communication,"Summer 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Winter 2025",6,4.83,,High,TRUE,"Describe Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC)."
"In short, explain Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC).",Embedded Systems,4. Inter-process Communication,"Summer 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Winter 2025",6,4.83,,High,TRUE,"Describe Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC)."
"In short, discuss Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC).",Embedded Systems,4. Inter-process Communication,"Summer 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Winter 2025",6,4.83,,High,TRUE,"Describe Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC)."
"In brief, explain Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC).",Embedded Systems,4. Inter-process Communication,"Summer 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Winter 2025",6,4.83,,High,TRUE,"Describe Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC)."
"Concisely, explain Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC).",Embedded Systems,4. Inter-process Communication,"Summer 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Winter 2025",6,4.83,,High,TRUE,"Describe Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC)."
"Briefly, explain priority inversion and deadlock conditions, and how to solve these issues.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Winter 2025",3,7,,High,TRUE,"Describe priority inversion and deadlock conditions, and how to solve these issues."
"To summarize, discuss priority inversion and deadlock conditions, and how to solve these issues.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Winter 2025",3,7,,High,TRUE,"Describe priority inversion and deadlock conditions, and how to solve these issues."
"In short, discuss priority inversion and deadlock conditions, and how to solve these issues.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Winter 2025",3,7,,High,TRUE,"Describe priority inversion and deadlock conditions, and how to solve these issues."
"To summarize, explain priority inversion and deadlock conditions, and how to solve these issues.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Winter 2025",3,7,,High,TRUE,"Describe priority inversion and deadlock conditions, and how to solve these issues."
"Concisely, discuss priority inversion and deadlock conditions, and how to solve these issues.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Winter 2025",3,7,,High,TRUE,"Describe priority inversion and deadlock conditions, and how to solve these issues."
"Concisely, what is a Semaphore? Explain where it can be utilized along with its advantages and disadvantages.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",7,5.14,,High,TRUE,What is a Semaphore? Explain where it can be utilized along with its advantages and disadvantages.
What is a Semaphore? Explain where it can be utilized along with its pros and cons.,Embedded Systems,4. Inter-process Communication,"Winter 2021, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",7,5.14,,High,TRUE,What is a Semaphore? Explain where it can be utilized along with its advantages and disadvantages.
"Briefly, what is a Semaphore? Explain where it can be utilized along with its pros and cons.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",7,5.14,,High,TRUE,What is a Semaphore? Explain where it can be utilized along with its advantages and disadvantages.
"In short, what is a Semaphore? Explain where it can be utilized along with its advantages and disadvantages.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",7,5.14,,High,TRUE,What is a Semaphore? Explain where it can be utilized along with its advantages and disadvantages.
"Concisely, what is a Semaphore? Explain where it can be utilized along with its merits and demerits.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",7,5.14,,High,TRUE,What is a Semaphore? Explain where it can be utilized along with its advantages and disadvantages.
"In short, distinguish between Binary Semaphore and Mutex.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Summer 2025",4,4.75,,High,TRUE,Differentiate between Binary Semaphore and Mutex.
"In brief, compare between Binary Semaphore and Mutex.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Summer 2025",4,4.75,,High,TRUE,Differentiate between Binary Semaphore and Mutex.
"In brief, differentiate between Binary Semaphore and Mutex.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Summer 2025",4,4.75,,High,TRUE,Differentiate between Binary Semaphore and Mutex.
"Briefly, distinguish between Binary Semaphore and Mutex.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Summer 2025",4,4.75,,High,TRUE,Differentiate between Binary Semaphore and Mutex.
"To summarize, differentiate between Binary Semaphore and Mutex.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Summer 2025",4,4.75,,High,TRUE,Differentiate between Binary Semaphore and Mutex.
"In short, explain Process Control Block (PCB) and list the data fields included in it.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2022, Summer 2023",3,3.33,,High,TRUE,Define Process Control Block (PCB) and list the data fields included in it.
Explain Process Control Block (PCB) and list the data fields included in it.,Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2022, Summer 2023",3,3.33,,High,TRUE,Define Process Control Block (PCB) and list the data fields included in it.
"To summarize, explain Process Control Block (PCB) and list the data fields included in it.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2022, Summer 2023",3,3.33,,High,TRUE,Define Process Control Block (PCB) and list the data fields included in it.
"In brief, explain Process Control Block (PCB) and list the data fields included in it.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2022, Summer 2023",3,3.33,,High,TRUE,Define Process Control Block (PCB) and list the data fields included in it.
Describe Process Control Block (PCB) and list the data fields included in it.,Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2022, Summer 2023",3,3.33,,High,TRUE,Define Process Control Block (PCB) and list the data fields included in it.
"In short, explain Critical Section and how to achieve this functionality in programming.",Embedded Systems,4. Inter-process Communication,Summer 2022,1,4,,Low,TRUE,Describe Critical Section and how to achieve this functionality in programming.
"In brief, describe Critical Section and how to achieve this functionality in programming.",Embedded Systems,4. Inter-process Communication,Summer 2022,1,4,,Low,TRUE,Describe Critical Section and how to achieve this functionality in programming.
"Concisely, describe Critical Section and how to achieve this functionality in programming.",Embedded Systems,4. Inter-process Communication,Summer 2022,1,4,,Low,TRUE,Describe Critical Section and how to achieve this functionality in programming.
"In short, describe Critical Section and how to achieve this functionality in programming.",Embedded Systems,4. Inter-process Communication,Summer 2022,1,4,,Low,TRUE,Describe Critical Section and how to achieve this functionality in programming.
"In brief, discuss Critical Section and how to achieve this functionality in programming.",Embedded Systems,4. Inter-process Communication,Summer 2022,1,4,,Low,TRUE,Describe Critical Section and how to achieve this functionality in programming.
"Concisely, what is Inter-Process Communication (IPC)? List down and explain methods of IPC in short.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2024, Summer 2025",3,5,,High,TRUE,What is Inter-Process Communication (IPC)? List down and explain methods of IPC in brief.
"To summarize, what is Inter-Process Communication (IPC)? List down and explain methods of IPC in brief.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2024, Summer 2025",3,5,,High,TRUE,What is Inter-Process Communication (IPC)? List down and explain methods of IPC in brief.
"Briefly, what is Inter-Process Communication (IPC)? List down and explain methods of IPC briefly.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2024, Summer 2025",3,5,,High,TRUE,What is Inter-Process Communication (IPC)? List down and explain methods of IPC in brief.
What is Inter-Process Communication (IPC)? List down and explain methods of IPC in short.,Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2024, Summer 2025",3,5,,High,TRUE,What is Inter-Process Communication (IPC)? List down and explain methods of IPC in brief.
"Concisely, what is Inter-Process Communication (IPC)? List down and explain methods of IPC in brief.",Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2024, Summer 2025",3,5,,High,TRUE,What is Inter-Process Communication (IPC)? List down and explain methods of IPC in brief.
"In short, describe the role of signal functions in process communication.",Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,TRUE,Discuss the role of signal functions in process communication.
"Briefly, explain the role of signal functions in process communication.",Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,TRUE,Discuss the role of signal functions in process communication.
"To summarize, describe the role of signal functions in process communication.",Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,TRUE,Discuss the role of signal functions in process communication.
"In brief, discuss the role of signal functions in process communication.",Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,TRUE,Discuss the role of signal functions in process communication.
"Briefly, discuss the role of signal functions in process communication.",Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,TRUE,Discuss the role of signal functions in process communication.
"To summarize, discuss Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication.",Embedded Systems,4. Inter-process Communication,Winter 2025,1,7,,Low,TRUE,"Describe Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication."
"Concisely, explain Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication.",Embedded Systems,4. Inter-process Communication,Winter 2025,1,7,,Low,TRUE,"Describe Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication."
"Explain Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication.",Embedded Systems,4. Inter-process Communication,Winter 2025,1,7,,Low,TRUE,"Describe Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication."
"Discuss Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication.",Embedded Systems,4. Inter-process Communication,Winter 2025,1,7,,Low,TRUE,"Describe Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication."
"In short, describe Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication.",Embedded Systems,4. Inter-process Communication,Winter 2025,1,7,,Low,TRUE,"Describe Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication."
"To summarize, differentiate the characteristics of tasks and ISRs.",Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,TRUE,Compare the characteristics of tasks and ISRs.
"In brief, differentiate the characteristics of tasks and ISRs.",Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,TRUE,Compare the characteristics of tasks and ISRs.
"Concisely, compare the characteristics of tasks and ISRs.",Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,TRUE,Compare the characteristics of tasks and ISRs.
"In brief, compare the characteristics of tasks and ISRs.",Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,TRUE,Compare the characteristics of tasks and ISRs.
"Briefly, differentiate the characteristics of tasks and ISRs.",Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,TRUE,Compare the characteristics of tasks and ISRs.
"Concisely, differentiate between Multiprocessing and Multithreading.",Embedded Systems,4. Inter-process Communication,Summer 2025,1,7,,Low,TRUE,Differentiate between Multiprocessing and Multithreading.
Compare between Multiprocessing and Multithreading.,Embedded Systems,4. Inter-process Communication,Summer 2025,1,7,,Low,TRUE,Differentiate between Multiprocessing and Multithreading.
"Briefly, differentiate between Multiprocessing and Multithreading.",Embedded Systems,4. Inter-process Communication,Summer 2025,1,7,,Low,TRUE,Differentiate between Multiprocessing and Multithreading.
"In short, compare between Multiprocessing and Multithreading.",Embedded Systems,4. Inter-process Communication,Summer 2025,1,7,,Low,TRUE,Differentiate between Multiprocessing and Multithreading.
"Concisely, compare between Multiprocessing and Multithreading.",Embedded Systems,4. Inter-process Communication,Summer 2025,1,7,,Low,TRUE,Differentiate between Multiprocessing and Multithreading.
"In brief, define RTOS. Enlist types of RTOS with illustrations.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2025",5,3.4,,High,TRUE,Define RTOS. Enlist types of RTOS with examples.
"Briefly, define RTOS. Enlist types of RTOS with examples.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2025",5,3.4,,High,TRUE,Define RTOS. Enlist types of RTOS with examples.
"In short, define RTOS. Enlist types of RTOS with examples.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2025",5,3.4,,High,TRUE,Define RTOS. Enlist types of RTOS with examples.
"Briefly, define RTOS. Enlist types of RTOS with illustrations.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2025",5,3.4,,High,TRUE,Define RTOS. Enlist types of RTOS with examples.
"In short, define RTOS. Enlist types of RTOS giving suitable examples.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2025",5,3.4,,High,TRUE,Define RTOS. Enlist types of RTOS with examples.
"In brief, explain and explain different Benchmarking parameters for an RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2023, Summer 2025",2,4,,Medium,TRUE,Define and explain different Benchmarking parameters for an RTOS.
"To summarize, define and explain different Benchmarking parameters for an RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2023, Summer 2025",2,4,,Medium,TRUE,Define and explain different Benchmarking parameters for an RTOS.
"To summarize, explain and explain different Benchmarking parameters for an RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2023, Summer 2025",2,4,,Medium,TRUE,Define and explain different Benchmarking parameters for an RTOS.
Explain and explain different Benchmarking parameters for an RTOS.,Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2023, Summer 2025",2,4,,Medium,TRUE,Define and explain different Benchmarking parameters for an RTOS.
"To summarize, describe and explain different Benchmarking parameters for an RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2023, Summer 2025",2,4,,Medium,TRUE,Define and explain different Benchmarking parameters for an RTOS.
"In short, explain the differences between Hard Real Time and Soft Real Time System with examples.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2022, Summer 2023",2,3.5,,High,TRUE,Describe the differences between Hard Real Time and Soft Real Time System with examples.
"Briefly, describe the differences between Hard Real Time and Soft Real Time System with examples.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2022, Summer 2023",2,3.5,,High,TRUE,Describe the differences between Hard Real Time and Soft Real Time System with examples.
"In short, describe the differences between Hard Real Time and Soft Real Time System with examples.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2022, Summer 2023",2,3.5,,High,TRUE,Describe the differences between Hard Real Time and Soft Real Time System with examples.
"In brief, discuss the differences between Hard Real Time and Soft Real Time System with examples.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2022, Summer 2023",2,3.5,,High,TRUE,Describe the differences between Hard Real Time and Soft Real Time System with examples.
"Concisely, describe the differences between Hard Real Time and Soft Real Time System giving suitable examples.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2022, Summer 2023",2,3.5,,High,TRUE,Describe the differences between Hard Real Time and Soft Real Time System with examples.
"To summarize, state down the key features and services of an Operating System.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2024, Winter 2024, Summer 2025",3,3,,High,TRUE,Write down the key features and services of an Operating System.
"In short, write down the key features and services of an Operating System.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2024, Winter 2024, Summer 2025",3,3,,High,TRUE,Write down the key features and services of an Operating System.
"In short, state down the key features and services of an Operating System.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2024, Winter 2024, Summer 2025",3,3,,High,TRUE,Write down the key features and services of an Operating System.
"To summarize, write down the key features and services of an Operating System.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2024, Winter 2024, Summer 2025",3,3,,High,TRUE,Write down the key features and services of an Operating System.
"Concisely, write down the key features and services of an Operating System.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2024, Winter 2024, Summer 2025",3,3,,High,TRUE,Write down the key features and services of an Operating System.
"In brief, write down pros and cons of RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Summer 2024,1,4,,Low,TRUE,Write down advantages and disadvantages of RTOS.
"In short, write down advantages and disadvantages of RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Summer 2024,1,4,,Low,TRUE,Write down advantages and disadvantages of RTOS.
"Concisely, write down merits and demerits of RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Summer 2024,1,4,,Low,TRUE,Write down advantages and disadvantages of RTOS.
"Briefly, write down pros and cons of RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Summer 2024,1,4,,Low,TRUE,Write down advantages and disadvantages of RTOS.
"To summarize, write down pros and cons of RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Summer 2024,1,4,,Low,TRUE,Write down advantages and disadvantages of RTOS.
"Briefly, describe memory and file management in RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Winter 2022, Winter 2022, Summer 2023",4,6.25,,High,TRUE,Describe memory and file management in RTOS.
"In brief, describe memory and file management in RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Winter 2022, Winter 2022, Summer 2023",4,6.25,,High,TRUE,Describe memory and file management in RTOS.
"Concisely, explain memory and file management in RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Winter 2022, Winter 2022, Summer 2023",4,6.25,,High,TRUE,Describe memory and file management in RTOS.
Discuss memory and file management in RTOS.,Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Winter 2022, Winter 2022, Summer 2023",4,6.25,,High,TRUE,Describe memory and file management in RTOS.
Explain memory and file management in RTOS.,Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Winter 2022, Winter 2022, Summer 2023",4,6.25,,High,TRUE,Describe memory and file management in RTOS.
"Concisely, explain task scheduling in RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2021,1,4,,Low,TRUE,Explain task scheduling in RTOS.
"In short, discuss task scheduling in RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2021,1,4,,Low,TRUE,Explain task scheduling in RTOS.
"Briefly, discuss task scheduling in RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2021,1,4,,Low,TRUE,Explain task scheduling in RTOS.
"In short, describe task scheduling in RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2021,1,4,,Low,TRUE,Explain task scheduling in RTOS.
"In short, explain task scheduling in RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2021,1,4,,Low,TRUE,Explain task scheduling in RTOS.
"Briefly, what do you understand by Interrupt Service Thread? Explain its usage with an example in RTOS based systems.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2022,1,4,,Low,TRUE,What do you understand by Interrupt Service Thread? Explain its usage with an example in RTOS based systems.
"Concisely, what do you understand by Interrupt Service Thread? Explain its usage with an example in RTOS based systems.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2022,1,4,,Low,TRUE,What do you understand by Interrupt Service Thread? Explain its usage with an example in RTOS based systems.
"In short, what do you understand by Interrupt Service Thread? Explain its usage with a suitable example in RTOS based systems.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2022,1,4,,Low,TRUE,What do you understand by Interrupt Service Thread? Explain its usage with an example in RTOS based systems.
"In brief, what do you understand by Interrupt Service Thread? Explain its usage with an illustration in RTOS based systems.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2022,1,4,,Low,TRUE,What do you understand by Interrupt Service Thread? Explain its usage with an example in RTOS based systems.
"To summarize, what do you understand by Interrupt Service Thread? Explain its usage with an illustration in RTOS based systems.",Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2022,1,4,,Low,TRUE,What do you understand by Interrupt Service Thread? Explain its usage with an example in RTOS based systems.
"To summarize, enlist down the services provided by RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2024",2,3,,Medium,TRUE,List down the services provided by RTOS.
"In brief, list down the services provided by RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2024",2,3,,Medium,TRUE,List down the services provided by RTOS.
"Concisely, enumerate down the services provided by RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2024",2,3,,Medium,TRUE,List down the services provided by RTOS.
"In short, enumerate down the services provided by RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2024",2,3,,Medium,TRUE,List down the services provided by RTOS.
"In short, list down the services provided by RTOS.",Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2024",2,3,,Medium,TRUE,List down the services provided by RTOS.
"To summarize, describe the Earliest Deadline First (EDF) mechanism with a suitable example.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025, Winter 2025",5,4.2,,High,TRUE,Describe the Earliest Deadline First (EDF) mechanism with an example.
"To summarize, describe the Earliest Deadline First (EDF) mechanism with an illustration.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025, Winter 2025",5,4.2,,High,TRUE,Describe the Earliest Deadline First (EDF) mechanism with an example.
